Wall time,Step,Value
1733650508.0868711,73,1.8333333462461354e-10
1733651099.7845793,147,0.0005783388041891158
1733651702.638023,221,1.8333333462461354e-10
1733652294.1666696,295,0.00791190192103386
1733652889.9747732,369,1.8333333462461354e-10
1733653475.8073492,443,0.0015033696545287967
1733654063.563198,517,0.02406059391796589
1733654651.669655,591,0.009730437770485878
1733655243.8702781,665,0.012355459854006767
1733655831.5674515,739,0.008776247501373291
1733656422.336996,813,0.011830049566924572
1733657017.633885,887,0.01715453341603279
1733657608.4092486,961,0.0009411766077391803
1733658198.1193664,1035,0.019373854622244835
1733658791.651325,1109,1.8333333462461354e-10
1733659386.224897,1183,0.014476434327661991
1733659981.1212656,1257,1.8333333462461354e-10
1733660582.6727312,1331,2.000000026702864e-10
1733661171.203332,1405,0.017334016039967537
1733661763.9186735,1479,2.000000026702864e-10
1733662352.937914,1553,0.01554722711443901
1733662944.5042915,1627,0.0004739338473882526
1733663537.2372317,1701,0.02192988060414791
1733664129.0998042,1775,0.018876926973462105
1733664720.2589743,1849,0.026773812249302864
1733665312.2614799,1923,0.017838625237345695
1733665901.2982788,1997,0.03365868330001831
1733666490.6547065,2071,0.01986035332083702
1733667079.8369956,2145,0.030876746401190758
1733667665.000138,2219,0.03407219797372818
